iter	Logloss
0	0.6072272834
1	0.5451592849
2	0.4990482646
3	0.4615225123
4	0.4319240216
5	0.4081152106
6	0.3904879311
7	0.3774093352
8	0.3621509942
9	0.3529025403
10	0.3468114147
11	0.3390699511
12	0.3330689412
13	0.3279910281
14	0.323806716
15	0.3187645368
16	0.3155439162
17	0.3119419593
18	0.309632181
19	0.3069623506
20	0.3050029375
21	0.3026981692
22	0.3008019873
23	0.2992006118
24	0.2972805857
25	0.2957104348
26	0.2941282102
27	0.2930922896
28	0.2914154203
29	0.2900751416
30	0.2886783987
31	0.2872656637
32	0.2861087945
33	0.2851916616
34	0.28428493
35	0.2833612664
36	0.2826281666
37	0.2816298763
38	0.2808475731
39	0.2799779297
40	0.2776224273
41	0.2766922849
42	0.275943169
43	0.2750065715
44	0.2743088257
45	0.2736328244
46	0.2730432741
47	0.2724068105
48	0.271844437
49	0.2700034285
50	0.2680255592
51	0.267649098
52	0.2672378317
53	0.2665559397
54	0.2661166109
55	0.2654018538
56	0.2639330751
57	0.2634481696
58	0.2631782124
59	0.2627429433
60	0.2621680628
61	0.2617704489
62	0.2612505674
63	0.2607937325
64	0.2603397399
65	0.2600405284
66	0.2596829613
67	0.2591816575
68	0.258920944
69	0.2584549145
70	0.2580429141
71	0.2576926738
72	0.2573099465
73	0.2571506727
74	0.2567713591
75	0.2564039686
76	0.2558753607
77	0.2553580193
78	0.2545366195
79	0.2540843072
80	0.2537759534
81	0.2534985687
82	0.2532834349
83	0.2528913248
84	0.2526199946
85	0.2523254456
86	0.2520259675
87	0.2517721666
88	0.2514411321
89	0.2510328698
90	0.2507751948
91	0.2502989057
92	0.2499856366
93	0.2496530752
94	0.2491919733
95	0.2488159726
96	0.2485619736
97	0.2482683921
98	0.2479995338
99	0.2476937876
100	0.2473320784
101	0.2471026261
102	0.2468481837
103	0.2466502612
104	0.24627507
105	0.24596127
106	0.245680668
107	0.245433926
108	0.2451712143
109	0.2450239155
110	0.2447195143
111	0.2443665359
112	0.2440346559
113	0.2437119372
114	0.2428878748
115	0.2424643127
116	0.2421316984
117	0.2417069437
118	0.2412109601
119	0.2409461073
120	0.2405961875
121	0.2403399304
122	0.2402082221
123	0.2397461575
124	0.239386954
125	0.2390245055
126	0.2387626699
127	0.2386592811
128	0.2382476029
129	0.2380083763
130	0.2377100714
131	0.2374331986
132	0.2373495589
133	0.2371200668
134	0.2368193332
135	0.2364727639
136	0.2362109661
137	0.2359559171
138	0.2355276673
139	0.2348819983
140	0.2345438834
141	0.2341008179
142	0.2337503319
143	0.2334148767
144	0.2330914599
145	0.2327967539
146	0.2325221415
147	0.2322154565
148	0.2319625653
149	0.2315889618
150	0.2312738723
151	0.2309719272
152	0.2306658737
153	0.2304426416
154	0.2302012615
155	0.2299252296
156	0.2297529956
157	0.2293266613
158	0.2290314288
159	0.2288301353
160	0.2285438085
161	0.2283515462
162	0.2281623592
163	0.2278324887
164	0.2276753652
165	0.2274358126
166	0.227140866
167	0.2268922607
168	0.2265620433
169	0.2263401242
170	0.2260976653
171	0.225658966
172	0.2254443257
173	0.2251377899
174	0.2248188547
175	0.2246275319
176	0.2243708847
177	0.2242228531
178	0.2240919821
179	0.2240659579
180	0.2238904932
181	0.223564537
182	0.2234138821
183	0.2230628929
184	0.2227749727
185	0.2225822667
186	0.2224076406
187	0.2221185242
188	0.2219182334
189	0.2217884441
190	0.2214773128
191	0.2214104935
192	0.2212536675
193	0.2211037825
194	0.2208480267
195	0.2205708023
196	0.2203289807
197	0.2203248315
198	0.2200398556
199	0.2197500028
200	0.2195604192
201	0.2192502633
202	0.2191120095
203	0.2190466987
204	0.2188968242
205	0.2187187954
206	0.2184329732
207	0.2181425791
208	0.2179045444
209	0.2176685932
210	0.2174814615
211	0.2171558717
212	0.2169694775
213	0.2168113223
214	0.2167412445
215	0.2165475526
216	0.2163656996
217	0.2162495542
218	0.215924272
219	0.2157102504
220	0.215547477
221	0.2152848676
222	0.2150895658
223	0.214871135
224	0.2146382063
225	0.2145435393
226	0.2143988879
227	0.2141684354
228	0.2139592418
229	0.2138025881
230	0.2135907269
231	0.2134350691
232	0.2132378707
233	0.2130491055
234	0.2127026624
235	0.212509611
236	0.2123120111
237	0.2121602024
238	0.2119738478
239	0.2117505335
240	0.2114801863
241	0.2113493963
242	0.2112630359
243	0.2110180041
244	0.2107784311
245	0.2105820462
246	0.2103596795
247	0.2101771822
248	0.2100873462
249	0.2098809158
250	0.209696505
251	0.2094861145
252	0.2093335214
253	0.2091601916
254	0.2089512028
255	0.2088020958
256	0.2085964031
257	0.2083993149
258	0.2082840845
259	0.2081416828
260	0.2079567176
261	0.2077898644
262	0.2075695102
263	0.2074463056
264	0.2071885777
265	0.2069810011
266	0.2068725085
267	0.2066302945
268	0.2064487209
269	0.2063799132
270	0.2062634405
271	0.2060492929
272	0.2060100429
273	0.2058110701
274	0.2055722604
275	0.2054740331
276	0.2053027089
277	0.2051928306
278	0.205014159
279	0.204827368
280	0.2045900651
281	0.2043742479
282	0.2042576976
283	0.2040809785
284	0.2039539849
285	0.203808638
286	0.2037022826
